strategy,num_urgent,rule,replication,elAppWT,elScanWT,urScanWT,OT,OV
S1,11,1,21,4.636113196805105,0.0737598843186681,3.3525846955438423,1.2893531046723619,0.40010532250172715
S1,11,1,22,4.531448988685837,0.0780654669934358,3.3490047280503994,1.290280768471704,0.3990845470969839
S1,11,1,23,4.966049124012008,0.07408625990984917,3.282313382679818,1.254259517271295,0.3942613031787814
S1,11,1,24,5.347895893348536,0.07683954246477828,3.2795872494489404,1.2434284265571065,0.3962312969229886
S1,11,1,25,5.063708898779579,0.07316240782157178,3.3032642102882197,1.2764881324532111,0.3971704810961886
S1,11,1,26,4.54970539234189,0.07385455099477042,3.378402893068321,1.2558187952971325,0.40245967894613416
S1,11,1,27,4.9417585637720185,0.07500729160613681,3.3086161934659866,1.222959145450292,0.3970392510424827
S1,11,1,28,5.028152328165965,0.07594451678908498,3.2671850736509804,1.2526604779143455,0.3929500418828429
S1,11,1,29,4.898149596543385,0.0757041241765542,3.490830524673059,1.2726678078525322,0.41702571065738386
S1,11,2,0,4.645990836381776,0.14051776807233404,3.192283774177999,1.1850201151874902,0.38235290449030407
S1,11,2,1,5.290363637551757,0.14603137271212635,3.244680216655738,1.1924908815482156,0.39201028382019165
S1,11,2,2,5.686329447149723,0.1449192836824192,3.3535459659190354,1.2130340291594273,0.40646341752562526
S1,11,2,3,5.168714330275136,0.14263030107136868,3.2118208751210453,1.1455097736481508,0.38763514285238876
S1,11,2,4,5.018858846360028,0.13916723296106165,3.2546011305073623,1.1580892990563882,0.3914965076339134
S1,11,2,5,5.09591777886308,0.14349533073945886,3.3630577640675687,1.2314399275835515,0.4040059288182005
S1,11,2,6,5.816454756400903,0.14634682982209868,3.2872739852115735,1.2249253879699171,0.3998744195258945
S1,11,2,7,5.331842707140856,0.1440978857814216,3.147227266026303,1.2067842613310986,0.38142907741844356
S1,11,2,8,5.290590389563088,0.14760124619470436,3.2698060307063748,1.076133767225232,0.3948033906512822
S1,11,2,9,5.257805175213881,0.1398751858216614,3.200895714971595,1.2282188881442917,0.38695153881756145
S1,11,2,10,5.557020546180573,0.142791940291704,3.211326591446234,1.192874948566691,0.389891568967323
S1,11,2,11,5.21049164018244,0.14032653164846964,3.2149078533317788,1.2200131162720316,0.3882268148950931
S1,11,2,12,5.255891909379772,0.13833303989197374,3.204557477961514,1.1670356389840186,0.38734701288488904
S1,11,2,13,5.645605464938325,0.14742003742580342,3.2214157267803363,1.2413380809445707,0.39153987518752736
S1,11,2,14,5.35622978535126,0.14363112359386515,3.1103275399998354,1.1898711044341839,0.37747426903977094
S1,11,2,15,5.376411321398902,0.1423932027684835,3.179765758888045,1.199964202176155,0.38530975488477626
S1,11,2,16,5.572500935857513,0.14555305408265218,3.224233306331236,1.1789370321762251,0.3914177935756384
S1,11,2,17,5.194281513883682,0.14347664894480555,3.2052729738297474,1.1524438356329634,0.3870597838811843
S1,11,2,18,5.145880906003222,0.14247557423514762,3.307364932990564,1.259427987989459,0.39811523604262156
S1,11,2,19,5.160162921521504,0.144382890912989,3.2676786226674652,1.1899384310038983,0.39379065800385427
S1,11,2,20,5.359769258423401,0.141805506903936,3.2055525612185867,1.1909447842324183,0.38807589524506164
S1,11,2,21,5.062532976550311,0.1376130222568086,3.291432387918517,1.21618227513401,0.3958488346291426
S1,11,2,22,4.980736677395158,0.14395764210496545,3.279626843056115,1.214911014347988,0.3940502246891427
S1,11,2,23,5.383805734759815,0.14223378836812642,3.218297186922572,1.1823820674982963,0.3896350390316338
S1,11,2,24,5.778262788741351,0.14369102073551868,3.208747692270848,1.1667474499016537,0.3909219427249832
S1,11,2,25,5.491806630018674,0.14414019290252833,3.238386708709391,1.198361845380686,0.3925100705908371
S1,11,2,26,4.983424506229998,0.14152269815808982,3.3120719096618343,1.1836163992430584,0.3976712310709379
S1,11,2,27,5.344867170038862,0.14443565199373054,3.2418988407837652,1.1556267556646864,0.39202566784525283
S1,11,2,28,5.456385327051131,0.14473458829856437,3.2041217735658694,1.1776586030608451,0.3884920144857978
S1,11,2,29,5.314875222693106,0.14465357927829992,3.4222402534623635,1.1964263084696416,0.41188507909121364
S1,11,3,0,4.616142221700256,0.17345122914756475,3.289512938078584,1.2526210487004477,0.3929784745982172
S1,11,3,1,5.3007854388333575,0.17706773494687555,3.344553628530006,1.2548667764224162,0.4031693641154373
S1,11,3,2,5.719959290339374,0.17553913777210373,3.45418116834865,1.276076530387149,0.41784528432250495
S1,11,3,3,5.241308277492576,0.17361397583747568,3.3068084354386698,1.2127344512287763,0.3986214230496889
S1,11,3,4,5.035391018037532,0.17454781111701337,3.3621297264327037,1.229558162250441,0.4035425351871904
S1,11,3,5,5.066710767766889,0.1777838562669601,3.471542378055226,1.299398747111605,0.41588592356030424
S1,11,3,6,5.837399343404162,0.17720212909607314,3.393845352430128,1.296669056392753,0.41184035271091196
S1,11,3,7,5.320361042476122,0.17470955674823074,3.245531571840382,1.2712434113532376,0.39228343482240025
S1,11,3,8,5.301497862872697,0.179686655126111,3.3797381498829253,1.1497740951097548,0.40708299599615455
S1,11,3,9,5.269070772361828,0.17448585328372343,3.2964994670575622,1.2940614327579312,0.3976412350641051
S1,11,3,10,5.564792292973189,0.17436269160649873,3.315939305273487,1.2597124730609872,0.40156146423459294
S1,11,3,11,5.240323845281099,0.17451791129558,3.3135430800410357,1.2900468760022847,0.3993638571788518
S1,11,3,12,5.221282267741539,0.1721731384936322,3.3001613803259704,1.2283352508696372,0.39776365893150584
S1,11,3,13,5.678119762756585,0.17922010827620952,3.3252827591899643,1.3109439977130046,0.4032741940533884
S1,11,3,14,5.355591261051862,0.17713193086224185,3.207982883894097,1.251174683079549,0.38832106206592265
S1,11,3,15,5.373125353370487,0.17456814913790467,3.2769351052263067,1.265340323297577,0.3960867895888584
S1,11,3,16,5.595690981106375,0.17650042330368618,3.3239722996091947,1.2428584537555796,0.4026379399234802
S1,11,3,17,5.208170402772571,0.17947381878236326,3.309207688717134,1.2177883320456944,0.39869075749301036
S1,11,3,18,5.20747536497559,0.17651450445926276,3.410471379076759,1.3287138232527544,0.40993814151433583
S1,11,3,19,5.110037742694609,0.17682968112226918,3.370812884456295,1.2629102428740133,0.40495165626515145
S1,11,3,20,5.411996628345004,0.1750619721578924,3.2973266009468727,1.2530670465270013,0.398583887972341
S1,11,3,21,5.061327333420681,0.17231561628011488,3.3829462791438307,1.2832900207064049,0.4060098683180884
S1,11,3,22,4.96969762430847,0.17734955469193087,3.3829122359025496,1.2813739646162772,0.4054606708005321
S1,11,3,23,5.416024244853645,0.17319439124271227,3.311724086913409,1.2464700907265487,0.40020758254307903
S1,11,3,24,5.777737652205851,0.1762595051337864,3.3105854068748473,1.234478417363155,0.40223411853493846
S1,11,3,25,5.55761814834328,0.1737396955795454,3.338779318199675,1.267489055621121,0.4040565402067691
S1,11,3,26,4.983460007508043,0.17385302053228788,3.413427207917652,1.2501164656809878,0.40893314219427107
S1,11,3,27,5.379692776163917,0.1743797643857778,3.338628159143698,1.2168284002860403,0.4029806651597993
S1,11,3,28,5.47465804165537,0.17812483029758214,3.304742145314958,1.2488432000464447,0.39978082194961057
S1,11,3,29,5.347137851814375,0.17438442340592444,3.512052987805197,1.2639170169826257,0.42205631125502807
